Rule_ID,Antecedent_Items,support,confidence,lift,leverage,conviction,Rule_Length,Family_Signature,Family_Count,Score,Semantic_Duplicate_Flag,Physical_Mechanism_Eligible,Antecedent_Display_CN,Antecedent_Display_EN,Resolved,Resolve_Trace,Test_N,Test_Base_Rate,Test_Hit_N,Test_Support,Test_Severe_N,Test_Confidence,Wilson_Lower,Wilson_Upper,Risk_Ratio_vs_BaseRate,p_value_enrichment,Has_Continuous_Threshold,Families_Replayed,q_value_BH,Bootstrap_Recurrence,Has_Continuous_Threshold_Sens,Test_Lift_Min,Test_Hit_N_Min,Evidence_Tier,Governance_Use,Core_Confirmed_Flag,Binary_Stable_Flag,Traffic_Safety_Interpretation,Rule_Sentinel_Dominated_Flag,Max_Item_Test_Hit_Sentinel_Rate,Rule_Missing_Category_Flag,Rule_Pure_Missing_Unknown_Flag,Rule_Partial_Unknown_Detail_Flag,Rule_Semantic_Duplicate_Flag,Physical_Mechanism_Valid_Flag,Physical_Evidence_Tier,Rule_Set,Mechanism_Axis,Mechanism_Families,Governance_Scene,Governance_Interpretation_Template,Interpretation_Boundary,Threshold_Stable_Flag
R01,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,0.2007782101167315,0.7865853658536587,1.1990061626594917,0.0333243501037109,1.611739855475265,2,speed_v0|speed_vk,2,1.5677801777636982,0,1,初始速度 > 50 km/h + 碰撞速度 > 50 km/h,Initial speed > 50 km/h + Impact speed > 50 km/h,True,VEH_意识到危险前的初始速度_V0___GT_50_0:threshold:>50.0:observed_source_value_required | VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required,643,0.656298600311042,168,0.2612752721617418,131,0.7797619047619048,0.7112317489443875,0.8357836419737604,1.1881206273978786,0.0003394855145208,1,speed_v0|speed_vk,0.0010184565435624,1.0,1,1.133913810206106,104.0,core-confirmed,priority_governance_target,1,0,speed management and conflict-speed reduction,0,0.0,0,0,0,0,1,core-confirmed,Primary_Rule_Set,speed_energy,speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",1
R02,VEH_意识到危险前的初始速度_V0___GT_50_0||性别_GESCHL_3-男性,0.178988326848249,0.775716694772344,1.1824388526482348,0.0276161637572105,1.5336356455340685,2,bio|speed_v0,2,1.4876163063538057,0,1,初始速度 > 50 km/h + 男性,Initial speed > 50 km/h + Male,True,VEH_意识到危险前的初始速度_V0___GT_50_0:threshold:>50.0:observed_source_value_required | 性别_GESCHL_3-男性:exact_binary_column,643,0.656298600311042,142,0.2208398133748056,113,0.795774647887324,0.722093207001562,0.8538741438777482,1.2125191909752353,0.0001958422011279,1,bio|speed_v0,0.0007344082542297,1.0,1,1.1770737404820195,94.0,core-confirmed,priority_governance_target,1,0,speed management and conflict-speed reduction; VRU vulnerability-sensitive protection,0,0.0,0,0,0,0,1,core-confirmed,Primary_Rule_Set,vulnerability_demographic_speed,bio|speed_v0,demographic speed-risk stratification,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,1
R03,VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,0.1607003891050583,0.7911877394636015,1.2060216431918482,0.0274520431800633,1.647263770392318,2,bio|speed_vk,2,1.4439504119051156,0,1,碰撞速度 > 50 km/h + 男性,Impact speed > 50 km/h + Male,True,VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required | 性别_GESCHL_3-男性:exact_binary_column,643,0.656298600311042,118,0.1835147744945567,98,0.8305084745762712,0.7526576836199572,0.8875177572803592,1.2654430074704794,2.0530827356175546e-05,1,bio|speed_vk,0.0001539812051713,1.0,1,1.2303647008135439,79.0,core-confirmed,priority_governance_target,1,0,speed management and conflict-speed reduction; VRU vulnerability-sensitive protection,0,0.0,0,0,0,0,1,core-confirmed,Primary_Rule_Set,vulnerability_demographic_speed,bio|speed_vk,demographic speed-risk stratification,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,1
R04,FEATURE_Age_Over60||性别_GESCHL_3-男性,0.1455252918287937,0.8165938864628821,1.244748688143302,0.0286139078562885,1.8754493236983512,2,age|bio,2,1.4197854265404497,0,1,年龄 > 60岁 + 男性,Age > 60 years + Male,True,FEATURE_Age_Over60:exact_binary_column | 性别_GESCHL_3-男性:exact_binary_column,643,0.656298600311042,115,0.1788491446345256,98,0.8521739130434782,0.7759689154016225,0.9056105988425478,1.2984545641871006,1.9857615831993464e-06,0,age|bio,2.97864237479902e-05,1.0,0,,115.0,binary-stable confirmed,stable_categorical_governance_signal,0,1,VRU vulnerability-sensitive protection,0,0.0,0,0,0,0,1,binary-stable confirmed,Primary_Rule_Set,vulnerability_demographic,age|bio,individual demographic risk stratification,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.,1
R05,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,0.1073929961089494,0.7540983606557377,1.1494856387219723,0.0139659949431482,1.398806744487678,2,speed_v0|vehicle_mass,2,1.2377530312217024,0,1,初始速度 > 50 km/h + 车辆总重 > 1497.5,Initial speed > 50 km/h + Vehicle total weight > 1497.5,True,VEH_意识到危险前的初始速度_V0___GT_50_0:threshold:>50.0:observed_source_value_required | VEH_碰撞时的总重_GEWGES___GT_1497_5:threshold:>1497.5:observed_source_value_required,643,0.656298600311042,95,0.1477449455676516,70,0.7368421052631579,0.6403379066787737,0.814935986095119,1.1227238712895982,0.0589485391855551,1,speed_v0|vehicle_mass,0.0794862002621549,1.0,1,1.105609178129696,19.0,replayable,replayed_without_confirmatory_evidence,0,0,speed management and conflict-speed reduction,0,0.0,0,0,0,0,1,replayable,Primary_Rule_Set,vehicle_mass_speed_energy,speed_v0|vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",1
R06,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0,0.0712062256809338,0.8591549295774648,1.3096252485255542,0.0168347741828036,2.442178988326848,2,age|speed_v0,2,1.22283210402451,0,1,年龄 > 60岁 + 初始速度 > 50 km/h,Age > 60 years + Initial speed > 50 km/h,True,FEATURE_Age_Over60:exact_binary_column | VEH_意识到危险前的初始速度_V0___GT_50_0:threshold:>50.0:observed_source_value_required,643,0.656298600311042,54,0.0839813374805598,46,0.8518518518518519,0.733996325347515,0.922970286917706,1.297963840617869,0.001127544866162,1,age|speed_v0,0.002818862165405,1.0,1,1.2392733017377566,31.0,core-confirmed,priority_governance_target,1,0,speed management and conflict-speed reduction; VRU vulnerability-sensitive protection,0,0.0,0,0,0,0,1,core-confirmed,Primary_Rule_Set,vulnerability_speed,age|speed_v0,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",1
R07,VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_碰撞速度_VK___GT_50_0,0.0968871595330739,0.7661538461538462,1.167862031207227,0.0139260246180865,1.470919516690559,2,speed_vk|vehicle_mass,2,1.2157101943821027,0,1,车辆总重 > 1497.5 + 碰撞速度 > 50 km/h,Vehicle total weight > 1497.5 + Impact speed > 50 km/h,True,VEH_碰撞时的总重_GEWGES___GT_1497_5:threshold:>1497.5:observed_source_value_required | VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required,643,0.656298600311042,79,0.1228615863141524,59,0.7468354430379747,0.6410553271149313,0.8297226395105322,1.1379506869038334,0.054982159166621,1,speed_vk|vehicle_mass,0.0794862002621549,1.0,1,1.02683906861735,17.0,replayable,replayed_without_confirmatory_evidence,0,0,speed management and conflict-speed reduction,0,0.0,0,0,0,0,1,replayable,Primary_Rule_Set,vehicle_mass_speed_energy,speed_vk|vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",1
R08,性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0.0972762645914396,0.764525993883792,1.1653806668335382,0.013804599615437,1.4607509222295214,2,bio|light,2,1.2153922448055068,0,1,男性 + 路灯_STRABEL_0-无路灯,Male + 路灯_STRABEL_0-无路灯,True,性别_GESCHL_3-男性:exact_binary_column | 路灯_STRABEL_0-无路灯:exact_binary_column,643,0.656298600311042,86,0.1337480559875583,66,0.7674418604651163,0.6679021685151015,0.8441100841607191,1.1693486167750469,0.0176187323202428,0,bio|light,0.0330351231004554,1.0,0,,86.0,binary-stable confirmed,stable_categorical_governance_signal,0,1,lighting or night-visibility treatment; VRU vulnerability-sensitive protection,0,0.0,0,0,0,0,1,binary-stable confirmed,Primary_Rule_Set,lighting_visibility,bio|light,night lighting and visibility governance,照明-可视性轴线，适合支持夜间照明、路灯状态、反光设施和主动警示治理。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",1
R09,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,0.1120622568093385,0.72544080604534,1.1058024149089702,0.0107220396978001,1.2528040552600577,2,crash_type|speed_v0,2,1.2101772939861597,0,1,初始速度 > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,Initial speed > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,True,VEH_意识到危险前的初始速度_V0___GT_50_0:threshold:>50.0:observed_source_value_required | VEH_碰撞前的制动距离_WEGV___GT_0_5:threshold:>0.5:observed_source_value_required,643,0.656298600311042,98,0.1524105754276827,71,0.7244897959183674,0.6288377565601042,0.8032057305807105,1.1039026985201663,0.0926648646864173,1,crash_type|speed_v0,0.1039305174103053,1.0,1,1.1004476040021063,63.0,replayable,replayed_without_confirmatory_evidence,0,0,speed management and conflict-speed reduction; crash-configuration-specific prevention,0,0.0,0,0,0,0,1,replayable,Primary_Rule_Set,crash_configuration,crash_type|speed_v0,conflict type and road-space redesign governance,碰撞构型轴线，适合支持冲突类型识别、交通组织和道路空间再设计。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",1
R10,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0,0.0645914396887159,0.8645833333333335,1.317899861605378,0.0155805538312465,2.540077821011676,2,age|speed_vk,2,1.2068772155448164,0,1,年龄 > 60岁 + 碰撞速度 > 50 km/h,Age > 60 years + Impact speed > 50 km/h,True,FEATURE_Age_Over60:exact_binary_column | VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required,643,0.656298600311042,48,0.0746500777604976,43,0.8958333333333334,0.7783231187385907,0.9546789490988218,1.3649782780410742,0.0001411904570392,1,age|speed_vk,0.0007059522851961,1.0,1,1.3120721432332807,27.0,core-confirmed,priority_governance_target,1,0,speed management and conflict-speed reduction; VRU vulnerability-sensitive protection,0,0.0,0,0,0,0,1,core-confirmed,Primary_Rule_Set,vulnerability_speed,age|speed_vk,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",1
