Feature,Family,Logistic_Coefficient,Abs_Coefficient
事故现场道路环境_STFUHO_4-环形交叉,road_env,-0.4851320141359368,0.4851320141359368
FEATURE_Age_Over60,age,0.28025124346410585,0.28025124346410585
VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,other,-0.2715697676513944,0.2715697676513944
事故参与人数_ANZPERS_3-3,other,-0.22787739807987395,0.22787739807987395
VEH_碰撞速度_VK,speed_vk,0.20540680291476876,0.20540680291476876
行驶车辆所在车道_FSTREIF_3-单向车道_单车道,lane,-0.18327860204636803,0.18327860204636803
VEH_意识到危险前的初始速度_V0,speed_v0,0.17842812549665782,0.17842812549665782
VEH_车长_LAENGE,vehicle_size,0.17512024999652748,0.17512024999652748
道路类型_STRART_15-公路_四级公路,road_type,-0.16514107695794156,0.16514107695794156
性别_GESCHL_3-男性,bio,0.14781504231756093,0.14781504231756093
公路分类_STRKL_1-公路以外的其他道路,road_type,-0.1356735753020935,0.1356735753020935
体重估计_GEWPG,bio,0.1203728613433517,0.1203728613433517
身高估计_GROESPG,bio,-0.10043910544428386,0.10043910544428386
路灯_STRABEL_0-无路灯,light,0.0969949090679404,0.0969949090679404
VEH_车高_HOEHE,vehicle_size,0.0965512973677604,0.0965512973677604
不同行驶方向车道的隔离方法_MARK_11-防撞栏,lane,-0.08707584311058537,0.08707584311058537
VEH_车宽_BREITE,vehicle_size,-0.07958345934908664,0.07958345934908664
VEH_碰撞前的制动距离_WEGV,crash_type,0.058024925349339625,0.058024925349339625
VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,-0.05650013332856809,0.05650013332856809
VEH_碰撞时的总重_GEWGES,vehicle_mass,-0.047343655238840265,0.047343655238840265
路面附着系数_MUE,road_surface,-0.04578882618139379,0.04578882618139379
主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,-0.04402363820570524,0.04402363820570524
VEH_车辆用途_VEHUSAGE_16-私用,vehicle_state,0.030217307914899617,0.030217307914899617
风速_WINDS,weather,0.002090162296710466,0.002090162296710466
VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,-0.0015049583966254719,0.0015049583966254719
