Feature,Family,MI,L1AbsCoef,RFImportance,ExtraTreesImportance,XGBImportance,UnivariateSignal,MI_N,MI_Rank,MI_RankScore,MI_TopK,L1AbsCoef_N,L1AbsCoef_Rank,L1AbsCoef_RankScore,L1AbsCoef_TopK,RFImportance_N,RFImportance_Rank,RFImportance_RankScore,RFImportance_TopK,ExtraTreesImportance_N,ExtraTreesImportance_Rank,ExtraTreesImportance_RankScore,ExtraTreesImportance_TopK,XGBImportance_N,XGBImportance_Rank,XGBImportance_RankScore,XGBImportance_TopK,UnivariateSignal_N,UnivariateSignal_Rank,UnivariateSignal_RankScore,UnivariateSignal_TopK,MethodVotes_TopK,MeanRank,BaseConsensusScore,GroupedStabilityFreq,GroupedPermutation,GroupedPermutation_N,GWO_CandidateFreq,FamilyPriority,ConsensusScore,Methods_Selected_TopK,ConsensusRank,Missing_Category_Type,Semantic_Group,Source_Group
VEH_碰撞速度_VK,speed_vk,0.022974565361192134,0.34145746428180257,0.02800441779704561,0.009135398066056755,0.012850895524024963,0.4276293731885623,0.6100066476937077,59.0,0.9749784296807593,1,0.5465620946594604,19.0,0.9922346850733391,1,1.0,1.0,1.0,1,0.7253932028669852,6.0,0.9978429680759275,1,0.5176476060961313,6.0,0.9978429680759275,1,1.0,1.0,1.0,1,6,15.333333333333334,0.9938165084843256,0.8666666666666667,0.008792802975697086,0.22354344354103695,0.5,1.0,0.8218226854894755,6,1,not_missing_category,impact_speed,VK
VEH_意识到危险前的初始速度_V0,speed_v0,0.030119502177701207,0.23109056016923538,0.025984600771688085,0.008852305729029557,0.005724248010665178,0.41352983455199194,0.799714652476432,8.0,0.9969801553062986,1,0.3699006577225865,48.0,0.9797238999137188,1,0.9278750574285958,3.0,0.999137187230371,1,0.702914351307548,9.0,0.996548748921484,1,0.2305787385697538,33.0,0.9861949956859362,1,0.9670286011191443,2.0,0.9995685936151855,1,6,17.166666666666668,0.9930255967788323,0.8,0.00024257348667041287,0.006167056474702932,0.5,1.0,0.7750736266179915,6,2,not_missing_category,precrash_speed,V0
年龄年数记录_ALTER1,age,0.021165372156920492,0.13384270687617558,0.025021990997196635,0.008467273803698081,0.008386955596506596,0.40275400589250093,0.5619700531284769,89.0,0.9620362381363244,0,0.21423854470131518,150.0,0.9357204486626403,0,0.8935015603086877,4.0,0.9987057808455565,1,0.6723410211140889,11.0,0.9956859361518551,1,0.3378354044548652,13.0,0.994823123382226,1,0.9418296102754087,3.0,0.999137187230371,1,4,45.0,0.9810181190681622,0.4,0.006153502644203761,0.15644330650035185,1.0,0.7,0.685309310537314,4,3,not_missing_category,raw_age_continuous,ALTER1
VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,0.01040039532111603,0.4458593996132293,0.015070858844820342,0.005110273157665179,0.0038031884469091892,0.11014386389567381,0.27614495355110863,489.0,0.7894736842105263,0,0.7136755609919847,9.0,0.996548748921484,1,0.5381600486766869,15.0,0.993960310612597,1,0.4057795168376296,40.0,0.9831751509922347,1,0.15319643610785463,95.0,0.9594477998274374,0,0.2575685179771458,670.0,0.7113891285591026,0,3,219.66666666666666,0.9056658038538971,0.6,0.004137032615456504,0.10517766853833223,0.5,0.7,0.6609911951369254,3,4,not_missing_category,crash_contact_geometry,BRPY
公路分类_STRKL_MISSING_OR_UNKNOWN,road_type,0.019086992628736477,0.13360089178631443,0.006949195284421739,0.009299657962412807,0.019894327968358994,0.40244089580543,0.5067861874626511,131.0,0.9439171699741156,0,0.21385147756745485,151.0,0.9352890422778257,0,0.24814639371488237,26.0,0.9892148403796376,1,0.7384362045466861,4.0,0.9987057808455565,1,0.8013644830011724,2.0,0.9995685936151855,1,0.941097410602743,5.0,0.998274374460742,1,4,53.166666666666664,0.9774949669255104,0.4,0.014994114852082796,0.3812022259737559,0.0,0.8,0.66036629840653,4,5,pure_missing_unknown,unknown_missing_category,STRKL
VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,0.01482572279880312,0.39569315172517494,0.015305564327019485,0.004922687632949529,0.003826054511591792,0.10478528349129478,0.39364354981054533,255.0,0.8904227782571182,0,0.6333757509275837,14.0,0.9943917169974116,1,0.5465410649827607,14.0,0.9943917169974116,1,0.39088435150372264,45.0,0.9810181190681622,1,0.15411750527549825,92.0,0.9607420189818809,0,0.24503761916534653,689.0,0.7031924072476272,0,3,184.83333333333334,0.9206931262582686,0.6,0.0006628588972527419,0.016852164307928772,0.5,0.7,0.6546365535064175,3,6,not_missing_category,crash_contact_geometry,BRPZ
FEATURE_Age_Years,age,0.009592338260536293,0.010161107601926652,0.02609801533239108,0.008901922711500275,0.0053351703099906445,0.40275400589250093,0.25468991529815,555.0,0.7610008628127696,0,0.016264621031642716,644.0,0.7226056945642796,0,0.9319249384696849,2.0,0.9995685936151855,1,0.7068541710691805,8.0,0.9969801553062986,1,0.21490627901524031,39.0,0.9836065573770492,1,0.9418296102754087,3.0,0.999137187230371,1,4,208.5,0.9104831751509922,0.5333333333333333,0.006153502644203761,0.15644330650035185,0.5,0.7,0.6540953329704462,4,7,not_missing_category,raw_age_continuous,FEATURE_Age
体重估计_GEWPG,bio,0.013771373136548526,0.18353803755556095,0.008269320729584313,0.006089917958842879,0.008246214129030704,0.21760792415287036,0.36564910060737027,291.0,0.8748921484037964,0,0.2937845698205761,82.0,0.9650560828300259,0,0.2952862933810645,22.0,0.9909404659188956,1,0.4835678819269049,23.0,0.9905090595340811,1,0.33216618991793667,14.0,0.9943917169974116,1,0.5088703858911876,389.0,0.8326143226919759,0,3,136.83333333333334,0.9414006327293644,0.4,0.006127848472509079,0.1557910887834676,0.5,0.75,0.6418710055214312,3,8,not_missing_category,weight_body_size,GEWPG
性别_GESCHL_3-男性,bio,0.01545912643234204,0.07727471280883162,0.004068313886972351,0.006305906033205016,0.004033378791064024,0.17702993200311182,0.41046129678671883,236.0,0.8986194995685937,0,0.1236916257954362,300.0,0.8710094909404659,0,0.1452740034253291,45.0,0.9810181190681622,1,0.5007183421378032,20.0,0.9918032786885246,1,0.16246874560375146,81.0,0.9654874892148404,0,0.41397982248766346,466.0,0.7993960310612597,0,2,191.33333333333334,0.9178889847569746,0.3333333333333333,0.007484246467285072,0.19027541413483195,0.5,0.75,0.6212941518816664,2,9,not_missing_category,sex,GESCHL
FEATURE_Age_Over60,age,0.00022383451520280317,0.19978630618667742,0.005797686409145607,0.010976759268595959,0.0,0.3456425571098213,0.005943117534995805,1370.0,0.409404659188956,0,0.31979275141441427,68.0,0.9710957722174288,0,0.20702756440654327,32.0,0.9866264020707507,1,0.8716058682250333,2.0,0.9995685936151855,1,0.0,252.0,0.8917169974115617,0,0.8082759950107797,8.0,0.9969801553062986,1,3,288.6666666666667,0.8758987633016968,0.3333333333333333,0.002530723234864566,0.06433973195289153,1.0,0.7,0.6143670677940836,3,10,not_missing_category,age_over60,FEATURE_Age_Over60
VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,other,0.013570451464683941,0.0,0.002214490949163504,0.002668240450255459,0.02482556737959385,0.3559523686297203,0.3603143509145573,303.0,0.8697152717860225,0,0.0,692.0,0.7018981880931838,0,0.07907648590348937,93.0,0.9603106125970664,0,0.21187073318913535,107.0,0.9542709232096636,0,1.0,1.0,1.0,1,0.8323852170761988,6.0,0.9978429680759275,1,2,200.33333333333334,0.914006327293644,0.0,0.03933375471190211,1.0,1.0,0.25,0.6131025309174577,2,11,not_missing_category,other_unique:VEH_第一轴右侧轮胎胎面状态_TIREDA1R,VEH_第一轴右侧轮胎胎面状态_TIREDA1R
VEH_车辆用途_VEHUSAGE_16-私用,vehicle_state,0.022457452695478164,0.40785730575007706,0.0006556356280569987,0.000898492749212778,0.00630270317196846,0.3160937717396259,0.59627658757144,69.0,0.9706643658326143,0,0.6528465963448737,12.0,0.9952545297670405,1,0.023411864256866158,254.0,0.8908541846419327,0,0.07134451376846776,253.0,0.8912855910267472,0,0.2538795216881594,27.0,0.9887834339948232,1,0.7391769404957245,237.0,0.8981880931837791,0,2,142.0,0.9391716997411561,0.3333333333333333,0.011169666080310078,0.28397151917282426,0.5,0.55,0.6129246925806578,2,12,not_missing_category,other_unique:VEHUSAGE,VEHUSAGE
事故现场道路环境_STFUHO_4-环形交叉,road_env,0.021962123156979096,0.4117036393195579,9.700197195928645e-05,0.0006456963638613826,0.0030995861161500216,0.20947778056094782,0.5831248997578427,75.0,0.9680759275237274,0,0.6590033225916295,11.0,0.9956859361518551,1,0.0034638096268339454,818.0,0.6475409836065574,0,0.05127130203568128,314.0,0.864969801553063,0,0.12485459320046893,150.0,0.9357204486626403,0,0.48985825973319896,397.0,0.8291630716134599,0,1,294.1666666666667,0.8735260281852172,0.3333333333333333,0.004426872863435534,0.11254640946077782,0.5,0.85,0.6076669085985957,1,13,not_missing_category,road_environment_type,STFUHO
行驶车辆所在车道_FSTREIF_MISSING_OR_UNKNOWN,lane,0.007921101873872072,0.06397467931030701,0.005809248329745333,0.008811446240237284,0.014765908010303974,0.35514722860981845,0.2103162660166348,687.0,0.7040552200172563,0,0.10240260760605698,348.0,0.8503019844693701,0,0.20744042500173643,31.0,0.9870578084555651,1,0.6996699173783182,10.0,0.9961173425366695,1,0.5947863259085581,4.0,0.9987057808455565,1,0.830502418394952,7.0,0.997411561691113,1,4,181.16666666666666,0.922274949669255,0.4,0.0,0.0,0.5,0.65,0.5974099798677021,4,14,pure_missing_unknown,unknown_missing_category,行驶车辆所在车道_FSTREIF_MISSING_OR
公路分类_STRKL_1-公路以外的其他道路,road_type,0.008361362285289609,0.12277390047200097,0.004092747298280697,0.005307583029018358,0.004088285379111767,0.303625346778051,0.22200579195363948,650.0,0.7200172562553926,0,0.1965209937718885,176.0,0.9245038826574633,0,0.14614648759855564,44.0,0.9814495254529767,1,0.4214468406371207,38.0,0.9840379637618637,1,0.1646804407971864,77.0,0.9672131147540983,0,0.7100198578832609,265.0,0.8861087144089732,0,2,208.33333333333334,0.910555076215128,0.26666666666666666,0.0036364979473213674,0.09245234720043112,0.5,0.8,0.5961653590941116,2,15,not_missing_category,other_unique:STRKL,STRKL
VEH_车上第一碰撞点X向坐标_BRPX,crash_type,0.019066755947624303,0.1674119830540627,0.01462132321503633,0.003961541640668861,0.0037397206760942936,0.11026689634695824,0.5062488754477507,133.0,0.9430543572044866,0,0.26797201320984276,98.0,0.9581535806729939,0,0.5221077374648667,16.0,0.9935289042277826,1,0.3145648780968909,67.0,0.9715271786022434,0,0.1506398874560375,98.0,0.9581535806729939,0,0.25785622611647935,669.0,0.7118205349439172,0,1,180.16666666666666,0.9227063560540695,0.3333333333333333,0.001864951658159845,0.0474135172657576,0.5,0.7,0.5957204348388339,1,16,not_missing_category,crash_contact_geometry,BRPX
身高估计_GROESPG,bio,0.0038584106083696668,0.18622617380334655,0.0061332433445087185,0.004955729705267238,0.0057789916172623634,0.11462922475082722,0.10244616529778347,1035.0,0.5539257981018119,0,0.2980873996954772,80.0,0.9659188955996548,0,0.21900985012285307,29.0,0.9879206212251941,1,0.3935080461139183,44.0,0.9814495254529767,1,0.23278386869871043,31.0,0.9870578084555651,1,0.2680574159256401,649.0,0.7204486626402071,0,3,311.3333333333333,0.8661202185792348,0.4666666666666667,0.002443453844859241,0.06212104241652449,0.0,0.75,0.5796450333700074,3,17,not_missing_category,height_body_size,GROESPG
VEH_碰撞前的制动距离_WEGV,crash_type,0.014033200792240352,0.07154004025508028,0.011339215458871416,0.008115058113902753,0.007292442489415407,0.07966753975495028,0.3726009888372935,284.0,0.8779119930974978,0,0.11451228438095862,322.0,0.8615185504745471,0,0.40490809489593005,18.0,0.9926660914581535,1,0.6443734530373405,12.0,0.9952545297670405,1,0.29374726377491206,21.0,0.99137187230371,1,0.18630043853376985,847.0,0.635030198446937,0,3,250.66666666666666,0.8922922059246475,0.3333333333333333,0.00018068446003014862,0.0045936235010759045,0.5,0.7,0.5775599896600097,3,18,not_missing_category,other_unique:VEH_碰撞前的制动距离,VEH_碰撞前的制动距离
事故参与人数_ANZPERS_3-3,other,0.016572373182859534,0.13267774548765565,0.0059924206248162535,0.008094181523117895,0.005337865091860294,0.2382147348893339,0.44001954555716927,196.0,0.9158757549611735,0,0.21237382126337223,154.0,0.9339948231233822,0,0.21398126067982165,30.0,0.9874892148403797,1,0.6427157543859112,13.0,0.994823123382226,1,0.21501482766705746,38.0,0.9840379637618637,1,0.5570588687889164,346.0,0.8511647972389992,0,3,129.5,0.9445642795513374,0.4666666666666667,0.0026505784997381174,0.06738686705991155,0.5,0.25,0.5717598732089225,3,19,not_missing_category,other_unique:事故参与人数_ANZPERS,事故参与人数_ANZPERS
VEH_发动机功率_LSTG,other,0.02056986292934404,0.0,0.015513579435139611,0.003800937145061566,0.00376644148491323,0.18114074290227034,0.5461584553082981,104.0,0.955565142364107,0,0.0,692.0,0.7018981880931838,0,0.553969004018225,13.0,0.994823123382226,1,0.301812132280999,71.0,0.9698015530629853,0,0.15171622977725674,97.0,0.9585849870578085,0,0.4235928452519951,449.0,0.8067299396031061,0,1,237.66666666666666,0.8979004889272363,0.4,0.0012668155277781128,0.03220682940280765,1.0,0.25,0.5671691516872875,1,20,not_missing_category,other_unique:VEH_发动机功率,VEH_发动机功率
行驶车辆所在车道_FSTREIF_3-单向车道_单车道,lane,0.005706262883767854,0.16263713405216793,0.00391448779619011,0.005472658372299959,0.003824676154181361,0.11815519437210098,0.15150921194208997,882.0,0.6199309749784296,0,0.26032903642605093,104.0,0.955565142364107,0,0.13978108113367305,49.0,0.9792924935289042,1,0.43455459260496615,33.0,0.9861949956859362,1,0.1540619835873388,93.0,0.9603106125970664,0,0.2763028028011553,636.0,0.7260569456427955,0,2,299.5,0.8712251941328732,0.13333333333333333,0.004025221935038866,0.10233505457389916,1.0,0.65,0.5623169852934953,2,21,not_missing_category,other_unique:行驶车辆所在车道_FSTREIF_3-单向车道,行驶车辆所在车道_FSTREIF_3-单向车道
涉及人员数_BETAUSVU,other,0.006895771479530577,0.49902153183231535,0.0008148485426493888,0.0005276833885594068,0.014255602844059467,0.3008157706707329,0.18309231871675571,776.0,0.6656600517687662,0,0.7987708052952306,5.0,0.998274374460742,1,0.029097142763501876,213.0,0.908541846419327,0,0.04190052152725031,358.0,0.8459879206212252,0,0.5742306963657678,5.0,0.998274374460742,1,0.7034497383277009,276.0,0.8813632441760139,0,2,272.1666666666667,0.8830169686511361,0.3333333333333333,0.005892238583221891,0.14980107102358428,1.0,0.25,0.5616789374037563,2,22,not_missing_category,other_unique:涉及人员数_BETAUSVU,涉及人员数_BETAUSVU
