Family,Selected_Count,Candidate_Count,Mandatory_Min,Family_Cap,Min_Satisfied,Mean_Selected_ConsensusScore,Selected_Features
age,1,20,1,2,1,0.6143670677940836,FEATURE_Age_Over60
bio,3,7,1,3,1,0.614270063591035,体重估计_GEWPG||性别_GESCHL_3-男性||身高估计_GROESPG
crash_type,3,214,1,3,1,0.6310625794344509,VEH_车上第一碰撞点Y向坐标_BRPY||VEH_车上第一碰撞点Z向坐标_BRPZ||VEH_碰撞前的制动距离_WEGV
engineering,0,1,0,3,1,,
lane,2,151,1,3,1,0.535601068622097,行驶车辆所在车道_FSTREIF_3-单向车道_单车道||不同行驶方向车道的隔离方法_MARK_11-防撞栏
light,1,55,1,2,1,0.487379206212252,路灯_STRABEL_0-无路灯
other,2,1729,0,2,1,0.5924312020631901,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏||事故参与人数_ANZPERS_3-3
road_env,1,17,1,3,1,0.6076669085985957,事故现场道路环境_STFUHO_4-环形交叉
road_surface,1,8,1,2,1,0.44592234685073345,路面附着系数_MUE
road_type,2,27,1,3,1,0.5565911638726239,公路分类_STRKL_1-公路以外的其他道路||道路类型_STRART_15-公路_四级公路
safety,1,45,1,2,1,0.4765633244990816,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物
speed_v0,1,1,1,2,1,0.7750736266179915,VEH_意识到危险前的初始速度_V0
speed_vk,1,1,1,2,1,0.8218226854894755,VEH_碰撞速度_VK
vehicle_mass,1,1,0,2,1,0.5142512490530984,VEH_碰撞时的总重_GEWGES
vehicle_size,3,3,1,3,1,0.5242672802224139,VEH_车高_HOEHE||VEH_车长_LAENGE||VEH_车宽_BREITE
vehicle_state,1,28,0,2,1,0.6129246925806578,VEH_车辆用途_VEHUSAGE_16-私用
weather,1,10,1,2,1,0.41466335921771647,风速_WINDS
