Feature,Family,ConsensusRank,ConsensusScore,BaseConsensusScore,GroupedStabilityFreq,GroupedPermutation,GWO_CandidateFreq,FamilyPriority,Methods_Selected_TopK,MeanRank,MI,MI_Rank,L1AbsCoef,L1AbsCoef_Rank,RFImportance,RFImportance_Rank,ExtraTreesImportance,ExtraTreesImportance_Rank,XGBImportance,XGBImportance_Rank,UnivariateSignal,UnivariateSignal_Rank
VEH_碰撞速度_VK,speed_vk,1,0.8218226854894755,0.9938165084843256,0.8666666666666667,0.008792802975697086,0.5,1.0,6,15.333333333333334,0.022974565361192134,59.0,0.34145746428180257,19.0,0.02800441779704561,1.0,0.009135398066056755,6.0,0.012850895524024963,6.0,0.4276293731885623,1.0
VEH_意识到危险前的初始速度_V0,speed_v0,2,0.7750736266179915,0.9930255967788323,0.8,0.00024257348667041287,0.5,1.0,6,17.166666666666668,0.030119502177701207,8.0,0.23109056016923538,48.0,0.025984600771688085,3.0,0.008852305729029557,9.0,0.005724248010665178,33.0,0.41352983455199194,2.0
年龄年数记录_ALTER1,age,3,0.685309310537314,0.9810181190681622,0.4,0.006153502644203761,1.0,0.7,4,45.0,0.021165372156920492,89.0,0.13384270687617558,150.0,0.025021990997196635,4.0,0.008467273803698081,11.0,0.008386955596506596,13.0,0.40275400589250093,3.0
VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,4,0.6609911951369254,0.9056658038538971,0.6,0.004137032615456504,0.5,0.7,3,219.66666666666666,0.01040039532111603,489.0,0.4458593996132293,9.0,0.015070858844820342,15.0,0.005110273157665179,40.0,0.0038031884469091892,95.0,0.11014386389567381,670.0
公路分类_STRKL_MISSING_OR_UNKNOWN,road_type,5,0.66036629840653,0.9774949669255104,0.4,0.014994114852082796,0.0,0.8,4,53.166666666666664,0.019086992628736477,131.0,0.13360089178631443,151.0,0.006949195284421739,26.0,0.009299657962412807,4.0,0.019894327968358994,2.0,0.40244089580543,5.0
VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,6,0.6546365535064175,0.9206931262582686,0.6,0.0006628588972527419,0.5,0.7,3,184.83333333333334,0.01482572279880312,255.0,0.39569315172517494,14.0,0.015305564327019485,14.0,0.004922687632949529,45.0,0.003826054511591792,92.0,0.10478528349129478,689.0
FEATURE_Age_Years,age,7,0.6540953329704462,0.9104831751509922,0.5333333333333333,0.006153502644203761,0.5,0.7,4,208.5,0.009592338260536293,555.0,0.010161107601926652,644.0,0.02609801533239108,2.0,0.008901922711500275,8.0,0.0053351703099906445,39.0,0.40275400589250093,3.0
体重估计_GEWPG,bio,8,0.6418710055214312,0.9414006327293644,0.4,0.006127848472509079,0.5,0.75,3,136.83333333333334,0.013771373136548526,291.0,0.18353803755556095,82.0,0.008269320729584313,22.0,0.006089917958842879,23.0,0.008246214129030704,14.0,0.21760792415287036,389.0
性别_GESCHL_3-男性,bio,9,0.6212941518816664,0.9178889847569746,0.3333333333333333,0.007484246467285072,0.5,0.75,2,191.33333333333334,0.01545912643234204,236.0,0.07727471280883162,300.0,0.004068313886972351,45.0,0.006305906033205016,20.0,0.004033378791064024,81.0,0.17702993200311182,466.0
FEATURE_Age_Over60,age,10,0.6143670677940836,0.8758987633016968,0.3333333333333333,0.002530723234864566,1.0,0.7,3,288.6666666666667,0.00022383451520280317,1370.0,0.19978630618667742,68.0,0.005797686409145607,32.0,0.010976759268595959,2.0,0.0,252.0,0.3456425571098213,8.0
VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,other,11,0.6131025309174577,0.914006327293644,0.0,0.03933375471190211,1.0,0.25,2,200.33333333333334,0.013570451464683941,303.0,0.0,692.0,0.002214490949163504,93.0,0.002668240450255459,107.0,0.02482556737959385,1.0,0.3559523686297203,6.0
VEH_车辆用途_VEHUSAGE_16-私用,vehicle_state,12,0.6129246925806578,0.9391716997411561,0.3333333333333333,0.011169666080310078,0.5,0.55,2,142.0,0.022457452695478164,69.0,0.40785730575007706,12.0,0.0006556356280569987,254.0,0.000898492749212778,253.0,0.00630270317196846,27.0,0.3160937717396259,237.0
事故现场道路环境_STFUHO_4-环形交叉,road_env,13,0.6076669085985957,0.8735260281852172,0.3333333333333333,0.004426872863435534,0.5,0.85,1,294.1666666666667,0.021962123156979096,75.0,0.4117036393195579,11.0,9.700197195928645e-05,818.0,0.0006456963638613826,314.0,0.0030995861161500216,150.0,0.20947778056094782,397.0
行驶车辆所在车道_FSTREIF_MISSING_OR_UNKNOWN,lane,14,0.5974099798677021,0.922274949669255,0.4,0.0,0.5,0.65,4,181.16666666666666,0.007921101873872072,687.0,0.06397467931030701,348.0,0.005809248329745333,31.0,0.008811446240237284,10.0,0.014765908010303974,4.0,0.35514722860981845,7.0
公路分类_STRKL_1-公路以外的其他道路,road_type,15,0.5961653590941116,0.910555076215128,0.26666666666666666,0.0036364979473213674,0.5,0.8,2,208.33333333333334,0.008361362285289609,650.0,0.12277390047200097,176.0,0.004092747298280697,44.0,0.005307583029018358,38.0,0.004088285379111767,77.0,0.303625346778051,265.0
VEH_车上第一碰撞点X向坐标_BRPX,crash_type,16,0.5957204348388339,0.9227063560540695,0.3333333333333333,0.001864951658159845,0.5,0.7,1,180.16666666666666,0.019066755947624303,133.0,0.1674119830540627,98.0,0.01462132321503633,16.0,0.003961541640668861,67.0,0.0037397206760942936,98.0,0.11026689634695824,669.0
身高估计_GROESPG,bio,17,0.5796450333700074,0.8661202185792348,0.4666666666666667,0.002443453844859241,0.0,0.75,3,311.3333333333333,0.0038584106083696668,1035.0,0.18622617380334655,80.0,0.0061332433445087185,29.0,0.004955729705267238,44.0,0.0057789916172623634,31.0,0.11462922475082722,649.0
VEH_碰撞前的制动距离_WEGV,crash_type,18,0.5775599896600097,0.8922922059246475,0.3333333333333333,0.00018068446003014862,0.5,0.7,3,250.66666666666666,0.014033200792240352,284.0,0.07154004025508028,322.0,0.011339215458871416,18.0,0.008115058113902753,12.0,0.007292442489415407,21.0,0.07966753975495028,847.0
