Candidate_Feature,Family,Missing_Category_Type,Semantic_Group,Source_Group,ConsensusRank,ConsensusScore,Selected,Excluded_As_Redundant,Excluded_As_Raw_Age_Column,Excluded_As_Pure_Missing_Unknown,Replaced_By,Reason
VEH_碰撞速度_VK,speed_vk,not_missing_category,impact_speed,VK,1,0.8218226854894755,1,0,0,0,,mandatory_family_min:speed_vk
VEH_意识到危险前的初始速度_V0,speed_v0,not_missing_category,precrash_speed,V0,2,0.7750736266179915,1,0,0,0,,mandatory_family_min:speed_v0
年龄年数记录_ALTER1,age,not_missing_category,raw_age_continuous,ALTER1,3,0.685309310537314,0,1,1,0,FEATURE_Age_Over60,raw_age_column_replaced_by_semantic_age_over60_feature
VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,not_missing_category,crash_contact_geometry,BRPY,4,0.6609911951369254,1,0,0,0,,mandatory_family_min:crash_type
公路分类_STRKL_MISSING_OR_UNKNOWN,road_type,pure_missing_unknown,unknown_missing_category,STRKL,5,0.66036629840653,0,0,0,1,,pure_missing_unknown_excluded_from_primary
VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,not_missing_category,crash_contact_geometry,BRPZ,6,0.6546365535064175,1,0,0,0,,consensus_fill_under_family_cap
FEATURE_Age_Years,age,not_missing_category,raw_age_continuous,FEATURE_Age,7,0.6540953329704462,0,1,1,0,FEATURE_Age_Over60,raw_age_column_replaced_by_semantic_age_over60_feature
体重估计_GEWPG,bio,not_missing_category,weight_body_size,GEWPG,8,0.6418710055214312,1,0,0,0,,mandatory_family_min:bio
性别_GESCHL_3-男性,bio,not_missing_category,sex,GESCHL,9,0.6212941518816664,1,0,0,0,,consensus_fill_under_family_cap
FEATURE_Age_Over60,age,not_missing_category,age_over60,FEATURE_Age_Over60,10,0.6143670677940836,1,0,0,0,,mandatory_semantic_age_over60_feature
VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,other,not_missing_category,other_unique:VEH_第一轴右侧轮胎胎面状态_TIREDA1R,VEH_第一轴右侧轮胎胎面状态_TIREDA1R,11,0.6131025309174577,1,0,0,0,,consensus_fill_under_family_cap
