Selected_N,Is_Primary_Analysis,Selection_Order,Feature,Family,ConsensusScore,SelectionReason
15,0,1,FEATURE_Age_Over60,age,0.6143670677940836,mandatory_semantic_age_over60_feature
15,0,2,VEH_意识到危险前的初始速度_V0,speed_v0,0.7750736266179915,mandatory_family_min:speed_v0
15,0,3,VEH_碰撞速度_VK,speed_vk,0.8218226854894755,mandatory_family_min:speed_vk
15,0,4,体重估计_GEWPG,bio,0.6418710055214312,mandatory_family_min:bio
15,0,5,路灯_STRABEL_0-无路灯,light,0.487379206212252,mandatory_family_min:light
15,0,6,事故现场道路环境_STFUHO_4-环形交叉,road_env,0.6076669085985957,mandatory_family_min:road_env
15,0,7,公路分类_STRKL_1-公路以外的其他道路,road_type,0.5961653590941116,mandatory_family_min:road_type
15,0,8,路面附着系数_MUE,road_surface,0.4459223468507334,mandatory_family_min:road_surface
15,0,9,VEH_车高_HOEHE,vehicle_size,0.5391521426517112,mandatory_family_min:vehicle_size
15,0,10,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,0.4765633244990816,mandatory_family_min:safety
15,0,11,VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,0.6609911951369254,mandatory_family_min:crash_type
15,0,12,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,lane,0.5623169852934953,mandatory_family_min:lane
15,0,13,风速_WINDS,weather,0.4146633592177164,mandatory_family_min:weather
15,0,14,VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,0.6546365535064175,consensus_fill_under_family_cap
15,0,15,性别_GESCHL_3-男性,bio,0.6212941518816664,consensus_fill_under_family_cap
20,0,1,FEATURE_Age_Over60,age,0.6143670677940836,mandatory_semantic_age_over60_feature
20,0,2,VEH_意识到危险前的初始速度_V0,speed_v0,0.7750736266179915,mandatory_family_min:speed_v0
20,0,3,VEH_碰撞速度_VK,speed_vk,0.8218226854894755,mandatory_family_min:speed_vk
20,0,4,体重估计_GEWPG,bio,0.6418710055214312,mandatory_family_min:bio
20,0,5,路灯_STRABEL_0-无路灯,light,0.487379206212252,mandatory_family_min:light
20,0,6,事故现场道路环境_STFUHO_4-环形交叉,road_env,0.6076669085985957,mandatory_family_min:road_env
20,0,7,公路分类_STRKL_1-公路以外的其他道路,road_type,0.5961653590941116,mandatory_family_min:road_type
20,0,8,路面附着系数_MUE,road_surface,0.4459223468507334,mandatory_family_min:road_surface
20,0,9,VEH_车高_HOEHE,vehicle_size,0.5391521426517112,mandatory_family_min:vehicle_size
20,0,10,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,0.4765633244990816,mandatory_family_min:safety
20,0,11,VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,0.6609911951369254,mandatory_family_min:crash_type
20,0,12,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,lane,0.5623169852934953,mandatory_family_min:lane
20,0,13,风速_WINDS,weather,0.4146633592177164,mandatory_family_min:weather
20,0,14,VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,0.6546365535064175,consensus_fill_under_family_cap
20,0,15,性别_GESCHL_3-男性,bio,0.6212941518816664,consensus_fill_under_family_cap
20,0,16,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,other,0.6131025309174577,consensus_fill_under_family_cap
20,0,17,VEH_车辆用途_VEHUSAGE_16-私用,vehicle_state,0.6129246925806578,consensus_fill_under_family_cap
20,0,18,身高估计_GROESPG,bio,0.5796450333700074,consensus_fill_under_family_cap
20,0,19,VEH_碰撞前的制动距离_WEGV,crash_type,0.5775599896600097,consensus_fill_under_family_cap
20,0,20,事故参与人数_ANZPERS_3-3,other,0.5717598732089225,consensus_fill_under_family_cap
25,1,1,FEATURE_Age_Over60,age,0.6143670677940836,mandatory_semantic_age_over60_feature
25,1,2,VEH_意识到危险前的初始速度_V0,speed_v0,0.7750736266179915,mandatory_family_min:speed_v0
25,1,3,VEH_碰撞速度_VK,speed_vk,0.8218226854894755,mandatory_family_min:speed_vk
25,1,4,体重估计_GEWPG,bio,0.6418710055214312,mandatory_family_min:bio
25,1,5,路灯_STRABEL_0-无路灯,light,0.487379206212252,mandatory_family_min:light
25,1,6,事故现场道路环境_STFUHO_4-环形交叉,road_env,0.6076669085985957,mandatory_family_min:road_env
25,1,7,公路分类_STRKL_1-公路以外的其他道路,road_type,0.5961653590941116,mandatory_family_min:road_type
25,1,8,路面附着系数_MUE,road_surface,0.4459223468507334,mandatory_family_min:road_surface
25,1,9,VEH_车高_HOEHE,vehicle_size,0.5391521426517112,mandatory_family_min:vehicle_size
25,1,10,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,0.4765633244990816,mandatory_family_min:safety
25,1,11,VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,0.6609911951369254,mandatory_family_min:crash_type
