Selected_Features,Family,ConsensusScore,BaseConsensusScore,GroupedStabilityFreq,GroupedPermutation,GWO_CandidateFreq,FamilyPriority,Methods_Selected_TopK,MeanRank,SelectionReason,Selection_Order,Missing_Category_Type,Semantic_Group,Source_Group,Semantic_Dedup_Status,Source_Dedup_Status,Physical_Mechanism_Eligible,Redundancy_Reason,Replaced_By
FEATURE_Age_Over60,age,0.6143670677940836,0.8758987633016968,0.3333333333333333,0.002530723234864566,1.0,0.7,3,288.6666666666667,mandatory_semantic_age_over60_feature,1,not_missing_category,age_over60,FEATURE_Age_Over60,selected_primary_semantic_unique,selected_primary_source_unique,1,,
VEH_意识到危险前的初始速度_V0,speed_v0,0.7750736266179915,0.9930255967788323,0.8,0.00024257348667041287,0.5,1.0,6,17.166666666666668,mandatory_family_min:speed_v0,2,not_missing_category,precrash_speed,V0,selected_primary_semantic_unique,selected_primary_source_unique,1,,
VEH_碰撞速度_VK,speed_vk,0.8218226854894755,0.9938165084843256,0.8666666666666667,0.008792802975697086,0.5,1.0,6,15.333333333333334,mandatory_family_min:speed_vk,3,not_missing_category,impact_speed,VK,selected_primary_semantic_unique,selected_primary_source_unique,1,,
体重估计_GEWPG,bio,0.6418710055214312,0.9414006327293644,0.4,0.006127848472509079,0.5,0.75,3,136.83333333333334,mandatory_family_min:bio,4,not_missing_category,weight_body_size,GEWPG,selected_primary_semantic_unique,selected_primary_source_unique,1,,
路灯_STRABEL_0-无路灯,light,0.487379206212252,0.8996980155306299,0.0,0.0,0.0,0.85,1,233.5,mandatory_family_min:light,5,not_missing_category,lighting_visibility,路灯_STRABEL,selected_primary_semantic_unique,selected_primary_source_unique,1,,
事故现场道路环境_STFUHO_4-环形交叉,road_env,0.6076669085985957,0.8735260281852172,0.3333333333333333,0.004426872863435534,0.5,0.85,1,294.1666666666667,mandatory_family_min:road_env,6,not_missing_category,road_environment_type,STFUHO,selected_primary_semantic_unique,selected_primary_source_unique,1,,
公路分类_STRKL_1-公路以外的其他道路,road_type,0.5961653590941116,0.910555076215128,0.26666666666666666,0.0036364979473213674,0.5,0.8,2,208.33333333333334,mandatory_family_min:road_type,7,not_missing_category,other_unique:STRKL,STRKL,selected_primary_semantic_unique,selected_primary_source_unique,1,,
路面附着系数_MUE,road_surface,0.44592234685073345,0.7748058671268335,0.06666666666666667,0.0,0.0,0.8,0,523.0,mandatory_family_min:road_surface,8,not_missing_category,other_unique:MUE,MUE,selected_primary_semantic_unique,selected_primary_source_unique,1,,
VEH_车高_HOEHE,vehicle_size,0.5391521426517112,0.807880356629278,0.4,0.0,0.0,0.8,2,446.3333333333333,mandatory_family_min:vehicle_size,9,not_missing_category,vehicle_geometry_height,HOEHE,selected_primary_semantic_unique,selected_primary_source_unique,1,,
主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,0.4765633244990816,0.862093758987633,0.0,0.0032944325945339172,0.0,0.8,0,320.6666666666667,mandatory_family_min:safety,10,not_missing_category,safety_assistance,ACSCE,selected_primary_semantic_unique,selected_primary_source_unique,1,,
