Candidate_Rank,Antecedent_Items,support,confidence,lift,leverage,conviction,Rule_Length,Family_Signature,Family_Count,Score,Mechanism_Axis,Mechanism_Families,Governance_Scene,Governance_Interpretation_Template,Interpretation_Boundary,Semantic_Duplicate_Flag
1,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,0.20077821011673153,0.7865853658536587,1.1990061626594917,0.033324350103710904,1.611739855475265,2,speed_v0|speed_vk,2,1.5677801777636982,speed_energy,speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
2,VEH_意识到危险前的初始速度_V0___GT_50_0||性别_GESCHL_3-男性,0.17898832684824903,0.775716694772344,1.1824388526482348,0.027616163757210543,1.5336356455340683,2,bio|speed_v0,2,1.4876163063538057,vulnerability_demographic_speed,bio|speed_v0,demographic speed-risk stratification,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,0
3,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,0.15019455252918287,0.7991718426501035,1.2181919546920321,0.02690154279398628,1.7127522162942759,3,bio|speed_v0|speed_vk,3,1.4529981787120718,speed_energy,bio|speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
4,VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,0.16070038910505838,0.7911877394636015,1.2060216431918482,0.027452043180063307,1.6472637703923179,2,bio|speed_vk,2,1.4439504119051156,vulnerability_demographic_speed,bio|speed_vk,demographic speed-risk stratification,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,0
5,FEATURE_Age_Over60||性别_GESCHL_3-男性,0.14552529182879378,0.8165938864628821,1.2447486881433019,0.02861390785628852,1.8754493236983512,2,age|bio,2,1.4197854265404495,vulnerability_demographic,age|bio,individual demographic risk stratification,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.,0
6,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,0.04669260700389105,0.8888888888888888,1.3549492553051272,0.012231827885357843,3.0957198443579754,4,age|bio|speed_v0|speed_vk,4,1.2429394740850492,speed_energy,age|bio|speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
7,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,0.10739299610894941,0.7540983606557377,1.1494856387219725,0.013965994943148263,1.398806744487678,2,speed_v0|vehicle_mass,2,1.2377530312217024,vehicle_mass_speed_energy,speed_v0|vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",0
8,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,0.05797665369649806,0.8816568047337278,1.343925259884745,0.014836863540704626,2.9065369649805435,3,age|speed_v0|speed_vk,3,1.2371040784951797,speed_energy,age|speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
9,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,0.06926070038910506,0.8018018018018018,1.2222008485353681,0.012591863616406004,1.7354793066855325,4,bio|speed_v0|speed_vk|vehicle_mass,4,1.2315351742065674,speed_energy,bio|speed_v0|speed_vk|vehicle_mass,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
10,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_碰撞速度_VK___GT_50_0,0.088715953307393,0.7728813559322034,1.1781168948670004,0.013412769307635242,1.5144898077704863,3,speed_v0|speed_vk|vehicle_mass,3,1.231022180326103,speed_energy,speed_v0|speed_vk|vehicle_mass,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
11,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0.04085603112840467,0.8898305084745762,1.3563845829060859,0.010734757528501566,3.122178988326847,4,bio|light|speed_v0|speed_vk,4,1.2251665871433155,speed_energy,bio|light|speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
12,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0,0.07120622568093385,0.8591549295774648,1.3096252485255542,0.016834774182803672,2.4421789883268477,2,age|speed_v0,2,1.22283210402451,vulnerability_speed,age|speed_v0,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
13,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||性别_GESCHL_3-男性,0.05758754863813229,0.8654970760233918,1.3192926959549922,0.013937228421323562,2.5573337844696318,3,age|bio|speed_v0,3,1.2203421522706055,vulnerability_speed,age|bio|speed_v0,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
14,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5||性别_GESCHL_3-男性,0.08249027237354085,0.7822878228782287,1.192455340923516,0.013313449105966782,1.5799248169887221,3,bio|speed_v0|vehicle_mass,3,1.2201322181042407,vehicle_mass_speed_energy,bio|speed_v0|vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",0
15,VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_碰撞速度_VK___GT_50_0,0.09688715953307393,0.7661538461538462,1.167862031207227,0.013926024618086577,1.4709195166905593,2,speed_vk|vehicle_mass,2,1.2157101943821027,vehicle_mass_speed_energy,speed_vk|vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",0
16,性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0.09727626459143969,0.764525993883792,1.1653806668335382,0.013804599615437035,1.4607509222295214,2,bio|light,2,1.2153922448055068,lighting_visibility,bio|light,night lighting and visibility governance,照明-可视性轴线，适合支持夜间照明、路灯状态、反光设施和主动警示治理。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
17,FEATURE_Age_Over60||VEH_碰撞时的总重_GEWGES___GT_1497_5||性别_GESCHL_3-男性,0.06964980544747082,0.817351598173516,1.2459036816761186,0.013746763766294724,1.8832295719844359,3,age|bio|vehicle_mass,3,1.2127114351514017,vulnerability_demographic,age|bio|vehicle_mass,individual demographic risk stratification,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.,0
18,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,0.11206225680933853,0.72544080604534,1.1058024149089702,0.010722039697800112,1.2528040552600577,2,crash_type|speed_v0,2,1.2101772939861595,crash_configuration,crash_type|speed_v0,conflict type and road-space redesign governance,碰撞构型轴线，适合支持冲突类型识别、交通组织和道路空间再设计。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
19,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,0.051361867704280154,0.8741721854304636,1.332516320614645,0.01281684809762449,2.7336473479418397,3,age|bio|speed_vk,3,1.208749930649596,vulnerability_speed,age|bio|speed_vk,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
20,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯,0.05525291828793774,0.8606060606060607,1.3118372335454187,0.013134188254174936,2.467602774488244,3,light|speed_v0|speed_vk,3,1.208174916004416,speed_energy,light|speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
21,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0,0.06459143968871596,0.8645833333333335,1.3178998616053779,0.015580553831246506,2.540077821011676,2,age|speed_vk,2,1.2068772155448164,vulnerability_speed,age|speed_vk,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
22,VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,0.07392996108949416,0.7949790794979079,1.2118008507174516,0.012921618798164995,1.6777257206384497,3,bio|speed_vk|vehicle_mass,3,1.2049255382270416,vehicle_mass_speed_energy,bio|speed_vk|vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",0
23,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||性别_GESCHL_3-男性||路灯_STRABEL_0-无路灯,0.01867704280155642,0.9411764705882353,1.434652152676017,0.005658526245666097,5.847470817120621,4,age|bio|light|speed_v0,4,1.203496911677143,vulnerability_speed,age|bio|light|speed_v0,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
24,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5||VEH_碰撞速度_VK___GT_50_0,0.08365758754863813,0.7706093189964157,1.1746535882685578,0.01243864403700283,1.4994892996108946,3,crash_type|speed_v0|speed_vk,3,1.2026537693072894,speed_energy,crash_type|speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
25,FEATURE_Age_Over60||VEH_车宽_BREITE___GT_1800_0||性别_GESCHL_3-男性,0.06147859922178988,0.831578947368421,1.2675906848972964,0.012978243425335732,2.0423151750972752,3,age|bio|vehicle_size,3,1.200224868324487,vehicle_geometry_vulnerability,age|bio|vehicle_size,vehicle geometry and vulnerability stratification,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,0
26,FEATURE_Age_Over60||VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_车宽_BREITE___GT_1800_0||性别_GESCHL_3-男性,0.0490272373540856,0.8344370860927153,1.271947396950343,0.01048221774742994,2.077571984435798,4,age|bio|vehicle_mass|vehicle_size,4,1.198124933801887,vehicle_geometry_vulnerability,age|bio|vehicle_mass|vehicle_size,vehicle geometry and vulnerability stratification,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,0
27,VEH_碰撞前的制动距离_WEGV___GT_0_5||VEH_碰撞速度_VK___GT_50_0,0.09533073929961089,0.7680250783699059,1.1707143839920866,0.013901194567669445,1.4827847302555468,2,crash_type|speed_vk,2,1.1975264321138013,crash_configuration,crash_type|speed_vk,conflict type and road-space redesign governance,碰撞构型轴线，适合支持冲突类型识别、交通组织和道路空间再设计。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
28,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,0.06303501945525292,0.7941176470588236,1.2104877538203895,0.010960953231691627,1.6707059477487498,4,bio|crash_type|speed_v0|speed_vk,4,1.1967345659201967,speed_energy,bio|crash_type|speed_v0|speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",0
