Position,Train_Raw_Column,Test_Raw_Column,Train_Sanitized_Column,Test_Sanitized_Column,Feature_Kind,Status
0,身高(GROESP),身高(GROESP),身高_GROESP,身高_GROESP,continuous_or_numeric,aligned
1,身高估计(GROESPG),身高估计(GROESPG),身高估计_GROESPG,身高估计_GROESPG,continuous_or_numeric,aligned
2,体重(GEWP),体重(GEWP),体重_GEWP,体重_GEWP,continuous_or_numeric,aligned
3,体重估计(GEWPG),体重估计(GEWPG),体重估计_GEWPG,体重估计_GEWPG,continuous_or_numeric,aligned
4,年龄年数记录(ALTER1),年龄年数记录(ALTER1),年龄年数记录_ALTER1,年龄年数记录_ALTER1,continuous_or_numeric,aligned
5,FEATURE_Age_Years,FEATURE_Age_Years,FEATURE_Age_Years,FEATURE_Age_Years,continuous_or_numeric,aligned
6,温度(TEMP),温度(TEMP),温度_TEMP,温度_TEMP,continuous_or_numeric,aligned
7,交通控制(VKREG),交通控制(VKREG),交通控制_VKREG,交通控制_VKREG,continuous_or_numeric,aligned
8,路面附着系数(MUE),路面附着系数(MUE),路面附着系数_MUE,路面附着系数_MUE,continuous_or_numeric,aligned
9,VEH_车长(LAENGE),VEH_车长(LAENGE),VEH_车长_LAENGE,VEH_车长_LAENGE,continuous_or_numeric,aligned
10,VEH_车宽(BREITE),VEH_车宽(BREITE),VEH_车宽_BREITE,VEH_车宽_BREITE,continuous_or_numeric,aligned
11,VEH_车高(HOEHE),VEH_车高(HOEHE),VEH_车高_HOEHE,VEH_车高_HOEHE,continuous_or_numeric,aligned
12,VEH_意识到危险前的初始速度(V0),VEH_意识到危险前的初始速度(V0),VEH_意识到危险前的初始速度_V0,VEH_意识到危险前的初始速度_V0,continuous_or_numeric,aligned
13,VEH_碰撞速度(VK),VEH_碰撞速度(VK),VEH_碰撞速度_VK,VEH_碰撞速度_VK,continuous_or_numeric,aligned
14,VEH_碰撞角度(KWINK),VEH_碰撞角度(KWINK),VEH_碰撞角度_KWINK,VEH_碰撞角度_KWINK,continuous_or_numeric,aligned
15,鞋跟高度(ABSHOHE),鞋跟高度(ABSHOHE),鞋跟高度_ABSHOHE,鞋跟高度_ABSHOHE,continuous_or_numeric,aligned
16,涉及人员数(BETAUSVU),涉及人员数(BETAUSVU),涉及人员数_BETAUSVU,涉及人员数_BETAUSVU,continuous_or_numeric,aligned
17,酒精测试结果数值(TESTDIG),酒精测试结果数值(TESTDIG),酒精测试结果数值_TESTDIG,酒精测试结果数值_TESTDIG,continuous_or_numeric,aligned
18,血液中酒精浓度(BLUTALK1),血液中酒精浓度(BLUTALK1),血液中酒精浓度_BLUTALK1,血液中酒精浓度_BLUTALK1,continuous_or_numeric,aligned
19,根据事故类型确定的参与方A(UTYPA),根据事故类型确定的参与方A(UTYPA),根据事故类型确定的参与方A_UTYPA,根据事故类型确定的参与方A_UTYPA,continuous_or_numeric,aligned
20,根据事故类型确定的参与方B(UTYPB),根据事故类型确定的参与方B(UTYPB),根据事故类型确定的参与方B_UTYPB,根据事故类型确定的参与方B_UTYPB,continuous_or_numeric,aligned
21,风速(WINDS),风速(WINDS),风速_WINDS,风速_WINDS,continuous_or_numeric,aligned
22,总体机动车道数（条）(NOLAN),总体机动车道数（条）(NOLAN),总体机动车道数（条）_NOLAN,总体机动车道数（条）_NOLAN,continuous_or_numeric,aligned
23,曲率半径(KRADIUS),曲率半径(KRADIUS),曲率半径_KRADIUS,曲率半径_KRADIUS,continuous_or_numeric,aligned
24,道路方向变化(KGRAD),道路方向变化(KGRAD),道路方向变化_KGRAD,道路方向变化_KGRAD,continuous_or_numeric,aligned
25,横向坡度(NEIGFBQ),横向坡度(NEIGFBQ),横向坡度_NEIGFBQ,横向坡度_NEIGFBQ,continuous_or_numeric,aligned
26,纵向坡度(NEIGUNGP),纵向坡度(NEIGUNGP),纵向坡度_NEIGUNGP,纵向坡度_NEIGUNGP,continuous_or_numeric,aligned
27,单向车道宽度(RFBREIT),单向车道宽度(RFBREIT),单向车道宽度_RFBREIT,单向车道宽度_RFBREIT,continuous_or_numeric,aligned
28,道路总宽度(STRBREIT),道路总宽度(STRBREIT),道路总宽度_STRBREIT,道路总宽度_STRBREIT,continuous_or_numeric,aligned
29,道路限速(ROADSPEED),道路限速(ROADSPEED),道路限速_ROADSPEED,道路限速_ROADSPEED,continuous_or_numeric,aligned
30,VEH_最高车速(MSD),VEH_最高车速(MSD),VEH_最高车速_MSD,VEH_最高车速_MSD,continuous_or_numeric,aligned
31,VEH_发动机功率(LSTG),VEH_发动机功率(LSTG),VEH_发动机功率_LSTG,VEH_发动机功率_LSTG,continuous_or_numeric,aligned
32,VEH_气缸排量(HUBR),VEH_气缸排量(HUBR),VEH_气缸排量_HUBR,VEH_气缸排量_HUBR,continuous_or_numeric,aligned
33,VEH_整备质量(LGEW),VEH_整备质量(LGEW),VEH_整备质量_LGEW,VEH_整备质量_LGEW,continuous_or_numeric,aligned
34,VEH_车辆总质量(ZULGEW),VEH_车辆总质量(ZULGEW),VEH_车辆总质量_ZULGEW,VEH_车辆总质量_ZULGEW,continuous_or_numeric,aligned
35,VEH_碰撞时的总重(GEWGES),VEH_碰撞时的总重(GEWGES),VEH_碰撞时的总重_GEWGES,VEH_碰撞时的总重_GEWGES,continuous_or_numeric,aligned
36,VEH_里程数(KMST),VEH_里程数(KMST),VEH_里程数_KMST,VEH_里程数_KMST,continuous_or_numeric,aligned
37,VEH_车辆的重心高度(VEHCGHT),VEH_车辆的重心高度(VEHCGHT),VEH_车辆的重心高度_VEHCGHT,VEH_车辆的重心高度_VEHCGHT,continuous_or_numeric,aligned
38,VEH_准乘人数(DESNUMB),VEH_准乘人数(DESNUMB),VEH_准乘人数_DESNUMB,VEH_准乘人数_DESNUMB,continuous_or_numeric,aligned
39,VEH_CLTC续航里程(MILEAGE2),VEH_CLTC续航里程(MILEAGE2),VEH_CLTC续航里程_MILEAGE2,VEH_CLTC续航里程_MILEAGE2,continuous_or_numeric,aligned
40,VEH_WLTC续航里程(MILEAGE3),VEH_WLTC续航里程(MILEAGE3),VEH_WLTC续航里程_MILEAGE3,VEH_WLTC续航里程_MILEAGE3,continuous_or_numeric,aligned
41,VEH_驶离道路的角度(ABWINK),VEH_驶离道路的角度(ABWINK),VEH_驶离道路的角度_ABWINK,VEH_驶离道路的角度_ABWINK,continuous_or_numeric,aligned
42,VEH_碰撞前平均制动减速度(BV),VEH_碰撞前平均制动减速度(BV),VEH_碰撞前平均制动减速度_BV,VEH_碰撞前平均制动减速度_BV,continuous_or_numeric,aligned
43,VEH_碰撞前的制动距离(WEGV),VEH_碰撞前的制动距离(WEGV),VEH_碰撞前的制动距离_WEGV,VEH_碰撞前的制动距离_WEGV,continuous_or_numeric,aligned
44,VEH_柱状物直径(MDURCH),VEH_柱状物直径(MDURCH),VEH_柱状物直径_MDURCH,VEH_柱状物直径_MDURCH,continuous_or_numeric,aligned
45,VEH_边坡坡度(RAMPSLOP),VEH_边坡坡度(RAMPSLOP),VEH_边坡坡度_RAMPSLOP,VEH_边坡坡度_RAMPSLOP,continuous_or_numeric,aligned
