item,source_feature,Display_Item_Label_CN,Display_Item_Label_EN,transform_type,operator,threshold,family,Missing_Category_Type,Semantic_Group,Source_Group,Physical_Mechanism_Eligible,train_item_hit_n,train_item_hit_rate,test_item_hit_n,test_item_hit_rate,train_source_min,train_source_max,test_source_min,test_source_max,train_sentinel_n,test_sentinel_n,train_sentinel_rate,test_sentinel_rate,train_item_hit_sentinel_n,test_item_hit_sentinel_n,train_item_hit_sentinel_rate,test_item_hit_sentinel_rate,known_value_train_hit_n,known_value_test_hit_n,Sentinel_Hit_Rate_GE_20,Sentinel_Hit_Rate_GE_50,unknown_dominated_flag,Used_In_Final_Rules,Used_In_Core_Confirmed_Rules,Usage_Fields_Role,status,Used_In_Physical_Core_Or_Binary_Rules
FEATURE_Age_Over60,FEATURE_Age_Over60,年龄 > 60岁,Age > 60 years,exact_binary_column,==,1.0,age,not_missing_category,age_over60,FEATURE_Age_Over60,1,584,0.2272373540856031,134,0.208398133748056,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,584,134,0,0,0,1,1,audit_only_not_rule_selection_input,ok,1
VEH_意识到危险前的初始速度_V0___GT_50_0,VEH_意识到危险前的初始速度_V0,初始速度 > 50 km/h,Initial speed > 50 km/h,threshold,>,50.0,speed_v0,not_missing_category,precrash_speed,V0,1,802,0.3120622568093385,213,0.3312597200622084,0.0,140.0,0.0,107.0,244,60,0.0949416342412451,0.093312597200622,0,0,0.0,0.0,802,213,0,0,0,1,1,audit_only_not_rule_selection_input,ok,1
VEH_碰撞速度_VK___GT_50_0,VEH_碰撞速度_VK,碰撞速度 > 50 km/h,Impact speed > 50 km/h,threshold,>,50.0,speed_vk,not_missing_category,impact_speed,VK,1,721,0.280544747081712,178,0.2768273716951788,0.0,130.0,0.0,107.0,199,58,0.077431906614786,0.0902021772939346,0,0,0.0,0.0,721,178,0,0,0,1,1,audit_only_not_rule_selection_input,ok,1
体重估计_GEWPG___GT_70_0,体重估计_GEWPG,体重估计_GEWPG___GT_70_0,体重估计_GEWPG___GT_70_0,threshold,>,70.0,bio,not_missing_category,weight_body_size,GEWPG,1,290,0.11284046692607,69,0.1073094867807153,50.0,120.0,50.0,80.0,1106,289,0.4303501945525292,0.4494556765163297,0,0,0.0,0.0,290,69,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
路灯_STRABEL_0-无路灯,路灯_STRABEL_0-无路灯,路灯_STRABEL_0-无路灯,路灯_STRABEL_0-无路灯,exact_binary_column,==,1.0,light,not_missing_category,lighting_visibility,路灯_STRABEL,1,459,0.1785992217898832,129,0.2006220839813375,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,459,129,0,0,0,1,1,audit_only_not_rule_selection_input,ok,1
事故现场道路环境_STFUHO_4-环形交叉,事故现场道路环境_STFUHO_4-环形交叉,事故现场道路环境_STFUHO_4-环形交叉,事故现场道路环境_STFUHO_4-环形交叉,exact_binary_column,==,1.0,road_env,not_missing_category,road_environment_type,STFUHO,1,19,0.0073929961089494,4,0.0062208398133748,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,19,4,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
公路分类_STRKL_1-公路以外的其他道路,公路分类_STRKL_1-公路以外的其他道路,公路分类_STRKL_1-公路以外的其他道路,公路分类_STRKL_1-公路以外的其他道路,exact_binary_column,==,1.0,road_type,not_missing_category,other_unique:STRKL,STRKL,1,1215,0.4727626459143969,286,0.4447900466562986,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,1215,286,0,0,0,1,0,audit_only_not_rule_selection_input,ok,0
路面附着系数_MUE___LE_0_5,路面附着系数_MUE,路面附着系数_MUE___LE_0_5,路面附着系数_MUE___LE_0_5,threshold,<=,0.5,road_surface,not_missing_category,other_unique:MUE,MUE,1,10,0.0038910505836575,10,0.015552099533437,0.4,0.85,0.43,0.85,2311,570,0.8992217898832685,0.8864696734059098,0,0,0.0,0.0,10,10,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
VEH_车高_HOEHE___GT_1495_0,VEH_车高_HOEHE,车辆高度 > 1495 mm,Vehicle height > 1495 mm,threshold,>,1495.0,vehicle_size,not_missing_category,vehicle_geometry_height,HOEHE,1,1072,0.4171206225680934,248,0.3856920684292379,1322.0,4500.0,500.0,3090.0,392,106,0.1525291828793774,0.1648522550544323,0,0,0.0,0.0,1072,248,0,0,0,1,0,audit_only_not_rule_selection_input,ok,0
主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,exact_binary_column,==,1.0,safety,not_missing_category,safety_assistance,ACSCE,1,38,0.0147859922178988,9,0.0139968895800933,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,38,9,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0,VEH_车上第一碰撞点Y向坐标_BRPY,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0,threshold,>,60.0,crash_type,not_missing_category,crash_contact_geometry,BRPY,1,1021,0.3972762645914396,260,0.4043545878693623,-110.0,99999.0,-102.0,99999.0,390,106,0.1517509727626459,0.1648522550544323,0,0,0.0,0.0,1021,260,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
行驶车辆所在车道_FSTREIF_3-单向车道_单车道,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,exact_binary_column,==,1.0,lane,not_missing_category,other_unique:行驶车辆所在车道_FSTREIF_3-单向车道,行驶车辆所在车道_FSTREIF_3-单向车道,1,368,0.1431906614785992,97,0.150855365474339,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,368,97,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
风速_WINDS___GT_0_0,风速_WINDS,风速_WINDS___GT_0_0,风速_WINDS___GT_0_0,threshold,>,0.0,weather,not_missing_category,weather_wind,风速_WINDS,1,112,0.0435797665369649,38,0.0590979782270606,0.0,99999.0,0.0,99999.0,2308,570,0.8980544747081712,0.8864696734059098,0,0,0.0,0.0,112,38,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,VEH_车上第一碰撞点Z向坐标_BRPZ,VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,threshold,>,50.0,crash_type,not_missing_category,crash_contact_geometry,BRPZ,1,1080,0.4202334630350194,276,0.4292379471228615,0.0,99999.0,0.0,99999.0,390,106,0.1517509727626459,0.1648522550544323,0,0,0.0,0.0,1080,276,0,0,0,0,0,audit_only_not_rule_selection_input,ok,0
