Rule_ID,Antecedent_Items,Duplicate_Semantic_Group,Duplicate_Items,Action,Reason
C1113,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||性别_GESCHL_3-男性,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1177,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||路面情况_STROB_3-干,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1204,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_车宽_BREITE___GT_1800_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1224,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_车道变更警告_SPURWAW1_2-无,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1248,FEATURE_Age_Over60||FEATURE_Opp_Powertrain_燃油||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1263,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||公路分类_STRKL_1-公路以外的其他道路,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1276,VEH_碰撞速度_VK___GT_50_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||路面情况_STROB_3-干,crash_contact_geometry,VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1290,FEATURE_Age_Over60||VEH_发动机功率_LSTG___GT_96_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1292,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_车长_LAENGE___GT_4598_5,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1297,FEATURE_Age_Over60||VEH_碰撞时的总重_GEWGES___GT_1497_5||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1304,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1339,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_车高_HOEHE___GT_1495_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1356,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||路面情况_STROB_3-干,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1362,VEH_碰撞前的制动距离_WEGV___GT_0_5||VEH_碰撞速度_VK___GT_50_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
C1364,FEATURE_Age_Over60||VEH_碰撞前的制动距离_WEGV___GT_0_5||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_primary_rules,same semantic construct repeated in one rule
