Feature,Raw_Feature,Family,Split,Raw_Sentinel_N,Raw_Sentinel_Rate,Converted_To_NaN_N,Missing_After_Sentinel_N
身高_GROESP,身高(GROESP),bio,Train,320,0.1245136186770428,320,2097
身高_GROESP,身高(GROESP),bio,Test,69,0.10730948678071539,69,490
身高估计_GROESPG,身高估计(GROESPG),bio,Train,902,0.35097276264591437,902,902
身高估计_GROESPG,身高估计(GROESPG),bio,Test,240,0.37325038880248834,240,240
体重_GEWP,体重(GEWP),bio,Train,376,0.1463035019455253,376,2153
体重_GEWP,体重(GEWP),bio,Test,90,0.13996889580093314,90,511
体重估计_GEWPG,体重估计(GEWPG),bio,Train,1106,0.4303501945525292,1106,1106
体重估计_GEWPG,体重估计(GEWPG),bio,Test,289,0.4494556765163297,289,289
年龄年数记录_ALTER1,年龄年数记录(ALTER1),age,Train,0,0.0,0,163
年龄年数记录_ALTER1,年龄年数记录(ALTER1),age,Test,0,0.0,0,42
FEATURE_Age_Years,FEATURE_Age_Years,age,Train,0,0.0,0,163
FEATURE_Age_Years,FEATURE_Age_Years,age,Test,0,0.0,0,42
温度_TEMP,温度(TEMP),other,Train,1,0.0003891050583657588,1,2309
温度_TEMP,温度(TEMP),other,Test,0,0.0,0,570
交通控制_VKREG,交通控制(VKREG),other,Train,0,0.0,0,390
交通控制_VKREG,交通控制(VKREG),other,Test,0,0.0,0,106
路面附着系数_MUE,路面附着系数(MUE),road_surface,Train,3,0.0011673151750972762,3,2311
路面附着系数_MUE,路面附着系数(MUE),road_surface,Test,0,0.0,0,570
VEH_车长_LAENGE,VEH_车长(LAENGE),vehicle_size,Train,2,0.0007782101167315176,2,392
VEH_车长_LAENGE,VEH_车长(LAENGE),vehicle_size,Test,0,0.0,0,106
VEH_车宽_BREITE,VEH_车宽(BREITE),vehicle_size,Train,2,0.0007782101167315176,2,392
VEH_车宽_BREITE,VEH_车宽(BREITE),vehicle_size,Test,0,0.0,0,106
VEH_车高_HOEHE,VEH_车高(HOEHE),vehicle_size,Train,2,0.0007782101167315176,2,392
VEH_车高_HOEHE,VEH_车高(HOEHE),vehicle_size,Test,0,0.0,0,106
VEH_意识到危险前的初始速度_V0,VEH_意识到危险前的初始速度(V0),speed_v0,Train,243,0.09455252918287937,243,244
VEH_意识到危险前的初始速度_V0,VEH_意识到危险前的初始速度(V0),speed_v0,Test,60,0.09331259720062209,60,60
VEH_碰撞速度_VK,VEH_碰撞速度(VK),speed_vk,Train,194,0.0754863813229572,194,199
VEH_碰撞速度_VK,VEH_碰撞速度(VK),speed_vk,Test,58,0.09020217729393468,58,58
VEH_碰撞角度_KWINK,VEH_碰撞角度(KWINK),crash_type,Train,0,0.0,0,1
VEH_碰撞角度_KWINK,VEH_碰撞角度(KWINK),crash_type,Test,0,0.0,0,0
鞋跟高度_ABSHOHE,鞋跟高度(ABSHOHE),other,Train,0,0.0,0,2308
鞋跟高度_ABSHOHE,鞋跟高度(ABSHOHE),other,Test,0,0.0,0,570
涉及人员数_BETAUSVU,涉及人员数(BETAUSVU),other,Train,0,0.0,0,2308
涉及人员数_BETAUSVU,涉及人员数(BETAUSVU),other,Test,0,0.0,0,570
酒精测试结果数值_TESTDIG,酒精测试结果数值(TESTDIG),other,Train,0,0.0,0,2308
酒精测试结果数值_TESTDIG,酒精测试结果数值(TESTDIG),other,Test,0,0.0,0,570
血液中酒精浓度_BLUTALK1,血液中酒精浓度(BLUTALK1),other,Train,0,0.0,0,2308
血液中酒精浓度_BLUTALK1,血液中酒精浓度(BLUTALK1),other,Test,0,0.0,0,570
根据事故类型确定的参与方A_UTYPA,根据事故类型确定的参与方A(UTYPA),crash_type,Train,0,0.0,0,2133
根据事故类型确定的参与方A_UTYPA,根据事故类型确定的参与方A(UTYPA),crash_type,Test,0,0.0,0,520
根据事故类型确定的参与方B_UTYPB,根据事故类型确定的参与方B(UTYPB),crash_type,Train,0,0.0,0,2133
