Feature,Family,Semantic_Group,Source_Group,Train_Sentinel_N,Test_Sentinel_N,Used_In_Selected25,Used_In_Rule_Manifest,Used_In_Final_Rules,Used_In_Core_Or_Binary_Rules,Used_In_Physical_Core_Or_Binary_Rules
FEATURE_Age_Years,age,raw_age_continuous,FEATURE_Age,0,0,0,0,0,0,0
FEATURE_Hour,other,other_unique:FEATURE_Hour,FEATURE_Hour,0,0,0,0,0,0,0
VEH_CLTC续航里程_MILEAGE2,other,other_unique:VEH_CLTC续航里程,VEH_CLTC续航里程,0,0,0,0,0,0,0
VEH_WLTC续航里程_MILEAGE3,other,other_unique:VEH_WLTC续航里程,VEH_WLTC续航里程,0,0,0,0,0,0,0
VEH_准乘人数_DESNUMB,other,other_unique:VEH_准乘人数,VEH_准乘人数,0,0,0,0,0,0,0
VEH_发动机功率_LSTG,other,other_unique:VEH_发动机功率,VEH_发动机功率,0,0,0,0,0,0,0
VEH_意识到危险前的初始速度_V0,speed_v0,precrash_speed,V0,243,60,1,1,1,1,1
VEH_护栏单元长度_SPLANKEL,other,other_unique:VEH_护栏单元长度,VEH_护栏单元长度,0,0,0,0,0,0,0
VEH_护栏顶端离地高_SPLANKEH,other,other_unique:VEH_护栏顶端离地高,VEH_护栏顶端离地高,0,0,0,0,0,0,0
VEH_接触重合度_OVERPER,other,other_unique:VEH_接触重合度,VEH_接触重合度,0,0,0,0,0,0,0
VEH_整备质量_LGEW,other,other_unique:VEH_整备质量,VEH_整备质量,0,0,0,0,0,0,0
VEH_最高车速_MSD,other,other_unique:VEH_最高车速,VEH_最高车速,0,0,0,0,0,0,0
VEH_柱状物直径_MDURCH,other,other_unique:VEH_柱状物直径,VEH_柱状物直径,0,0,0,0,0,0,0
VEH_气缸排量_HUBR,other,other_unique:VEH_气缸排量,VEH_气缸排量,0,0,0,0,0,0,0
VEH_碰撞前平均制动减速度_BV,crash_type,other_unique:VEH_碰撞前平均制动减速度,VEH_碰撞前平均制动减速度,0,0,0,0,0,0,0
VEH_碰撞前的制动距离_WEGV,crash_type,other_unique:VEH_碰撞前的制动距离,VEH_碰撞前的制动距离,0,0,1,1,1,0,0
VEH_碰撞时的总重_GEWGES,vehicle_mass,vehicle_mass,GEWGES,0,0,1,1,1,0,0
VEH_碰撞角度_KWINK,crash_type,other_unique:VEH_碰撞角度,VEH_碰撞角度,0,0,0,0,0,0,0
VEH_碰撞速度_VK,speed_vk,impact_speed,VK,194,58,1,1,1,1,1
VEH_车上第一碰撞点X向坐标_BRPX,crash_type,crash_contact_geometry,BRPX,0,0,0,0,0,0,0
VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,crash_contact_geometry,BRPY,0,0,1,1,0,0,0
VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,crash_contact_geometry,BRPZ,0,0,1,1,0,0,0
VEH_车宽_BREITE,vehicle_size,vehicle_geometry_width,BREITE,2,0,1,1,0,0,0
VEH_车辆总质量_ZULGEW,other,other_unique:VEH_车辆总质量,VEH_车辆总质量,0,0,0,0,0,0,0
VEH_车辆的重心高度_VEHCGHT,other,other_unique:VEH_车辆的重心高度,VEH_车辆的重心高度,0,0,0,0,0,0,0
VEH_车长_LAENGE,vehicle_size,vehicle_geometry_length,LAENGE,2,0,1,1,1,0,0
VEH_车高_HOEHE,vehicle_size,vehicle_geometry_height,HOEHE,2,0,1,1,1,0,0
VEH_边坡坡度_RAMPSLOP,other,other_unique:VEH_边坡坡度,VEH_边坡坡度,0,0,0,0,0,0,0
VEH_边坡横向宽度_RPWIDTH,other,other_unique:VEH_边坡横向宽度,VEH_边坡横向宽度,0,0,0,0,0,0,0
