item,source_feature,transform_type,operator,threshold,family,Missing_Category_Type,Semantic_Group,Source_Group,Physical_Mechanism_Eligible,Used_In_Triplet_Rules,Triplet_Usage_N,train_item_hit_n,train_item_hit_rate,test_item_hit_n,test_item_hit_rate,train_sentinel_n,test_sentinel_n,train_sentinel_rate,test_sentinel_rate,train_item_hit_sentinel_n,test_item_hit_sentinel_n,train_item_hit_sentinel_rate,test_item_hit_sentinel_rate,known_value_train_hit_n,known_value_test_hit_n,Sentinel_Hit_Rate_GE_20,Sentinel_Hit_Rate_GE_50,unknown_dominated_flag,status
FEATURE_Age_Over60,FEATURE_Age_Over60,exact_binary_column,==,1.0,age,not_missing_category,age_over60,FEATURE_Age_Over60,1,1,13,584,0.2272373540856031,134,0.208398133748056,0,0,0.0,0.0,0,0,0.0,0.0,584,134,0,0,0,ok
VEH_意识到危险前的初始速度_V0___GT_50_0,VEH_意识到危险前的初始速度_V0,threshold,>,50.0,speed_v0,not_missing_category,precrash_speed,V0,1,1,7,802,0.3120622568093385,213,0.3312597200622084,244,60,0.09494163424124513,0.09331259720062209,0,0,0.0,0.0,802,213,0,0,0,ok
VEH_碰撞速度_VK___GT_50_0,VEH_碰撞速度_VK,threshold,>,50.0,speed_vk,not_missing_category,impact_speed,VK,1,1,12,721,0.28054474708171206,178,0.27682737169517885,199,58,0.077431906614786,0.09020217729393468,0,0,0.0,0.0,721,178,0,0,0,ok
体重估计_GEWPG___GT_70_0,体重估计_GEWPG,threshold,>,70.0,bio,not_missing_category,weight_body_size,GEWPG,1,1,2,290,0.11284046692607004,69,0.10730948678071539,1106,289,0.4303501945525292,0.4494556765163297,0,0,0.0,0.0,290,69,0,0,0,ok
路灯_STRABEL_0-无路灯,路灯_STRABEL_0-无路灯,exact_binary_column,==,1.0,light,not_missing_category,lighting_visibility,路灯_STRABEL,1,1,6,459,0.17859922178988327,129,0.2006220839813375,0,0,0.0,0.0,0,0,0.0,0.0,459,129,0,0,0,ok
事故现场道路环境_STFUHO_4-环形交叉,事故现场道路环境_STFUHO_4-环形交叉,exact_binary_column,==,1.0,road_env,not_missing_category,road_environment_type,STFUHO,1,0,0,19,0.007392996108949416,4,0.006220839813374806,0,0,0.0,0.0,0,0,0.0,0.0,19,4,0,0,0,ok
公路分类_STRKL_1-公路以外的其他道路,公路分类_STRKL_1-公路以外的其他道路,exact_binary_column,==,1.0,road_type,not_missing_category,other_unique:STRKL,STRKL,1,1,1,1215,0.4727626459143969,286,0.4447900466562986,0,0,0.0,0.0,0,0,0.0,0.0,1215,286,0,0,0,ok
路面附着系数_MUE___LE_0_5,路面附着系数_MUE,threshold,<=,0.5,road_surface,not_missing_category,other_unique:MUE,MUE,1,0,0,10,0.0038910505836575876,10,0.015552099533437015,2311,570,0.8992217898832685,0.8864696734059098,0,0,0.0,0.0,10,10,0,0,0,ok
VEH_车高_HOEHE___GT_1495_0,VEH_车高_HOEHE,threshold,>,1495.0,vehicle_size,not_missing_category,vehicle_geometry_height,HOEHE,1,1,2,1072,0.4171206225680934,248,0.3856920684292379,392,106,0.15252918287937745,0.16485225505443235,0,0,0.0,0.0,1072,248,0,0,0,ok
主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,exact_binary_column,==,1.0,safety,not_missing_category,safety_assistance,ACSCE,1,0,0,38,0.014785992217898832,9,0.013996889580093312,0,0,0.0,0.0,0,0,0.0,0.0,38,9,0,0,0,ok
