Triplet_Rule_ID,Antecedent_Items,Duplicate_Semantic_Group,Duplicate_Items,Action,Reason
,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_碰撞速度_VK___GT_50_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,体重估计_GEWPG___GT_70_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,路灯_STRABEL_0-无路灯||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,事故现场道路环境_STFUHO_4-环形交叉||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,公路分类_STRKL_1-公路以外的其他道路||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,路面附着系数_MUE___LE_0_5||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车高_HOEHE___GT_1495_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
