Triplet_Rule_ID,Antecedent_Items,Has_Continuous_Threshold,Threshold_Deltas,Test_Hit_N_Min,Test_Lift_Min,Test_Lift_Max,Test_Confidence_Min
T01,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,1,-0.2||-0.1||0.0||0.1||0.2,22.0,1.2892818082391542,1.4544377423524342,0.8461538461538461
T02,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_车宽_BREITE___GT_1800_0,1,-0.2||-0.1||0.0||0.1||0.2,0.0,1.2788168584969533,1.5236966824644549,0.8392857142857143
T03,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||路灯_STRABEL_0-无路灯,1,-0.2||-0.1||0.0||0.1||0.2,8.0,1.197190250507786,1.3713270142180094,0.7857142857142857
T04,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,0,-0.2||-0.1||0.0||0.1||0.2,26.0,,,
T05,VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,1,-0.2||-0.1||0.0||0.1||0.2,24.0,1.3378800138712286,1.4602093206951026,0.8780487804878049
T06,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,1,-0.2||-0.1||0.0||0.1||0.2,16.0,1.358972716792622,1.4284656398104265,0.8918918918918919
T07,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,1,-0.2||-0.1||0.0||0.1||0.2,25.0,1.4122066813085192,1.4627488151658765,0.926829268292683
T08,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,1,-0.2||-0.1||0.0||0.1||0.2,3.0,1.2084490929890506,1.5236966824644549,0.7931034482758621
T09,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_车长_LAENGE___GT_4598_5,1,-0.2||-0.1||0.0||0.1||0.2,0.0,1.2743644980611804,1.3444382492333424,0.8363636363636363
T10,VEH_意识到危险前的初始速度_V0___GT_50_0||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,1,-0.2||-0.1||0.0||0.1||0.2,26.0,1.185097419694576,1.3478855267954792,0.7777777777777778
T11,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯,1,-0.2||-0.1||0.0||0.1||0.2,32.0,1.1796361412628038,1.3808501184834123,0.7741935483870968
T12,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_车宽_BREITE___GT_1800_0,1,-0.2||-0.1||0.0||0.1||0.2,0.0,1.1989744386605545,1.3444382492333424,0.7868852459016393
T13,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,1,-0.2||-0.1||0.0||0.1||0.2,2.0,1.3098445165045314,1.5236966824644549,0.8596491228070176
T14,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0||体重估计_GEWPG___GT_70_0,1,-0.2||-0.1||0.0||0.1||0.2,0.0,1.1081430417923308,1.2609903579016177,0.7272727272727273
T15,VEH_碰撞速度_VK___GT_50_0||公路分类_STRKL_1-公路以外的其他道路||VEH_车高_HOEHE___GT_1495_0,1,-0.2||-0.1||0.0||0.1||0.2,1.0,0.8464981569246972,1.5236966824644549,0.5555555555555556
T16,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯||VEH_碰撞时的总重_GEWGES___GT_1497_5,1,-0.2||-0.1||0.0||0.1||0.2,2.0,1.218957345971564,1.5236966824644549,0.8
T17,FEATURE_Age_Over60||性别_GESCHL_3-男性||VEH_碰撞时的总重_GEWGES___GT_1497_5,1,-0.2||-0.1||0.0||0.1||0.2,15.0,1.1173775671406,1.2670740833125467,0.7333333333333333
T18,VEH_碰撞速度_VK___GT_50_0||体重估计_GEWPG___GT_70_0||性别_GESCHL_3-男性,1,-0.2||-0.1||0.0||0.1||0.2,0.0,1.1081430417923308,1.2743644980611804,0.7272727272727273
T19,FEATURE_Age_Over60||性别_GESCHL_3-男性||VEH_碰撞前的制动距离_WEGV___GT_0_5,1,-0.2||-0.1||0.0||0.1||0.2,56.0,1.2788168584969533,1.2831129957595409,0.8392857142857143
T20,VEH_碰撞速度_VK___GT_50_0||VEH_车高_HOEHE___GT_1495_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,1,-0.2||-0.1||0.0||0.1||0.2,4.0,0.9142180094786729,1.5236966824644549,0.6
